time,open,high,low,close,volume,symbol
2018-09-06,6.06,6.06,6.06,6.06,0,ANT
2018-09-07,6.06,6.06,6.06,6.06,0,ANT
2018-09-10,5.88,6.06,5.88,6.06,109300,ANT
2018-09-11,6.0,6.0,6.0,6.0,0,ANT
2018-09-12,5.46,5.46,5.46,5.46,200,ANT
2018-09-13,5.46,5.46,5.46,5.46,1700,ANT
2018-09-14,5.46,5.46,5.46,5.46,1200,ANT
2018-09-17,5.88,6.06,5.88,6.0,50500,ANT
2018-09-18,6.0,6.0,6.0,6.0,0,ANT
2018-09-19,6.0,6.0,6.0,6.0,0,ANT
2018-09-20,6.0,6.0,6.0,6.0,0,ANT
2018-09-21,6.0,6.0,6.0,6.0,300,ANT
2018-09-24,5.28,5.28,5.28,5.28,100,ANT
2018-09-25,5.28,5.28,5.28,5.28,0,ANT
2018-09-26,5.28,5.28,5.28,5.28,0,ANT
2018-09-27,5.28,5.28,5.28,5.28,0,ANT
2018-09-28,5.28,5.28,5.28,5.28,0,ANT
2018-10-01,5.28,5.28,5.28,5.28,0,ANT
2018-10-02,5.28,5.28,5.28,5.28,0,ANT
2018-10-03,5.46,5.46,5.46,5.46,100,ANT
2018-10-04,5.46,5.46,5.46,5.46,10000,ANT
2018-10-05,5.46,5.46,5.46,5.46,0,ANT
2018-10-08,5.46,5.46,5.46,5.46,0,ANT
2018-10-09,5.46,5.46,5.46,5.46,0,ANT
2018-10-10,5.46,5.46,5.46,5.46,0,ANT
2018-10-11,5.46,5.46,5.46,5.46,0,ANT
2018-10-12,5.46,5.46,5.46,5.46,0,ANT
2018-10-15,5.46,5.46,5.46,5.46,0,ANT
2018-10-16,5.46,5.46,5.46,5.46,0,ANT
2018-10-17,5.46,5.46,5.46,5.46,0,ANT
2018-10-18,5.46,5.46,5.46,5.46,0,ANT
2018-10-19,5.46,5.46,5.46,5.46,0,ANT
2018-10-22,5.46,5.46,5.46,5.46,0,ANT
2018-10-23,6.06,6.06,5.15,5.15,10100,ANT
2018-10-24,5.22,5.22,5.22,5.22,0,ANT
2018-10-25,5.22,5.22,5.22,5.22,0,ANT
2018-10-26,5.22,5.22,5.22,5.22,0,ANT
2018-10-29,5.22,5.22,5.22,5.22,0,ANT
2018-10-30,5.22,5.22,5.22,5.22,0,ANT
2018-10-31,5.22,5.22,5.22,5.22,0,ANT
2018-11-01,5.22,5.22,5.22,5.22,0,ANT
2018-11-02,5.22,5.22,5.22,5.22,0,ANT
2018-11-05,5.94,5.94,5.94,5.94,100,ANT
2018-11-06,5.94,5.94,5.94,5.94,0,ANT
2018-11-07,5.94,5.94,5.94,5.94,0,ANT
2018-11-08,5.94,5.94,5.94,5.94,0,ANT
2018-11-09,6.79,6.79,6.79,6.79,100,ANT
2018-11-12,6.55,6.55,6.55,6.55,500,ANT
2018-11-13,5.64,5.64,5.64,5.64,500,ANT
2018-11-14,4.85,4.85,4.85,4.85,400,ANT
2018-11-15,4.85,4.85,4.85,4.85,0,ANT
2018-11-16,4.25,4.25,4.25,4.25,500,ANT
2018-11-19,4.25,4.25,4.25,4.25,0,ANT
2018-11-20,4.25,4.25,4.25,4.25,0,ANT
