time,open,high,low,close,volume,symbol
2019-04-23,21.6,25.45,21.6,25.45,700,BAX
2019-04-24,22.96,22.96,22.96,22.96,500,BAX
2019-04-25,21.6,21.94,21.6,21.94,1100,BAX
2019-04-26,22.67,22.67,22.62,22.67,4900,BAX
2019-05-02,22.11,22.11,22.11,22.11,300,BAX
2019-05-03,22.11,22.11,22.11,22.11,0,BAX
2019-05-06,22.11,22.11,22.11,22.11,2100,BAX
2019-05-07,22.11,22.11,22.11,22.11,0,BAX
2019-05-08,22.11,22.11,22.11,22.11,300,BAX
2019-05-09,22.11,22.11,22.11,22.11,500,BAX
2019-05-10,22.11,22.11,22.11,22.11,0,BAX
2019-05-13,22.67,22.67,21.6,22.16,4500,BAX
2019-05-14,22.16,22.16,22.16,22.16,0,BAX
2019-05-15,22.39,22.39,22.28,22.28,1000,BAX
2019-05-16,21.94,21.94,21.94,21.94,2000,BAX
2019-05-17,21.65,21.65,21.65,21.65,100,BAX
2019-05-20,20.97,22.05,20.97,21.43,2500,BAX
2019-05-21,21.54,23.52,21.54,23.52,9300,BAX
2019-05-22,23.52,25.85,23.52,25.85,11400,BAX
2019-05-23,28.4,28.4,26.64,28.4,18700,BAX
2019-05-24,30.89,31.23,29.76,31.23,43700,BAX
2019-05-27,34.06,34.35,31.75,34.35,22900,BAX
2019-05-28,34.64,37.69,31.17,34.64,32510,BAX
2019-05-29,35.21,35.21,33.48,34.35,1800,BAX
2019-05-30,31.75,32.33,31.23,31.52,6400,BAX
2019-05-31,31.52,32.33,31.52,31.75,5100,BAX
2019-06-03,30.59,31.46,28.57,29.04,7100,BAX
2019-06-04,27.25,29.15,27.25,29.15,1700,BAX
2019-06-05,30.31,32.04,29.44,32.04,11600,BAX
2019-06-06,29.73,35.21,29.73,35.15,24400,BAX
2019-06-07,36.37,36.94,35.67,35.67,9500,BAX
2019-06-10,35.73,39.2,35.73,38.68,33400,BAX
2019-06-11,38.68,38.68,36.08,37.98,19200,BAX
2019-06-12,37.52,38.1,35.33,36.89,11700,BAX
2019-06-13,35.27,36.94,33.25,36.02,16000,BAX
2019-06-14,36.89,37.52,36.08,36.08,6100,BAX
2019-06-17,36.37,37.23,35.21,35.21,6900,BAX
2019-06-18,33.48,35.79,32.9,35.21,17100,BAX
2019-06-19,32.96,34.64,31.75,34.64,13400,BAX
2019-06-20,35.21,35.21,32.44,34.64,32700,BAX
2019-06-21,32.9,34.64,32.33,33.48,16700,BAX
2019-06-24,32.1,34.35,32.1,33.94,7200,BAX
2019-06-25,32.67,33.19,32.67,32.9,10000,BAX
2019-06-26,32.79,32.79,30.02,32.21,10300,BAX
2019-06-27,31.69,31.75,30.59,31.69,2700,BAX
2019-06-28,30.59,34.81,30.02,34.64,67700,BAX
2019-07-01,34.06,37.23,33.19,36.94,37100,BAX
2019-07-02,36.89,37.52,35.79,36.66,15500,BAX
2019-07-03,36.37,36.37,35.21,36.08,6700,BAX
2019-07-04,36.08,37.23,35.5,37.06,54900,BAX
2019-07-05,36.54,40.7,36.37,40.41,93000,BAX
2019-07-08,40.41,40.47,38.68,40.06,48000,BAX
2019-07-09,40.06,40.06,38.68,38.68,6300,BAX
2019-07-10,38.62,41.56,38.56,39.83,54700,BAX
2019-07-11,41.56,41.85,40.41,40.41,40900,BAX
2019-07-12,40.99,42.54,40.47,42.14,27800,BAX
2019-07-15,42.02,42.02,40.52,40.7,24400,BAX
2019-07-16,40.47,41.45,40.47,40.52,24900,BAX
2019-07-17,40.99,42.14,39.25,41.56,48700,BAX
2019-07-18,41.56,41.56,40.7,41.56,21900,BAX
2019-07-19,40.52,41.27,40.41,40.99,30200,BAX
2019-07-22,40.7,41.16,40.47,41.16,28400,BAX
2019-07-23,41.27,44.45,41.27,44.33,56600,BAX
2019-07-24,44.33,44.51,43.29,43.81,7300,BAX
2019-07-25,43.81,45.26,42.83,44.45,13600,BAX
2019-07-26,44.45,44.45,41.1,43.29,15900,BAX
2019-07-29,43.01,43.01,41.5,42.14,12400,BAX
2019-07-30,42.43,42.43,40.99,40.99,15200,BAX
2019-07-31,40.93,40.93,39.31,39.83,14500,BAX
2019-08-01,40.52,43.29,40.52,41.04,28800,BAX
2019-08-02,41.56,43.01,41.27,42.6,24000,BAX
2019-08-05,43.01,44.45,42.72,43.87,75300,BAX
2019-08-06,42.72,46.18,42.72,45.03,118000,BAX
2019-08-07,45.03,45.89,43.41,44.33,37600,BAX
2019-08-08,43.87,44.16,42.14,43.53,29100,BAX
2019-08-09,42.14,42.83,42.14,42.83,8400,BAX
2019-08-12,42.83,43.29,42.14,42.31,20800,BAX
2019-08-13,41.27,42.14,40.12,40.29,36300,BAX
2019-08-14,40.7,40.99,39.25,39.95,9800,BAX
2019-08-15,39.25,41.56,38.68,41.56,26200,BAX
2019-08-16,41.68,41.68,39.25,41.27,43200,BAX
2019-08-19,39.54,40.41,38.68,40.35,12000,BAX
2019-08-20,40.12,40.99,39.37,40.99,20000,BAX
2019-08-21,40.58,40.99,39.83,40.41,13900,BAX
2019-08-22,40.35,42.43,38.68,38.68,56900,BAX
2019-08-23,39.83,41.27,39.25,40.41,15100,BAX
2019-08-26,40.41,41.5,40.41,41.39,21200,BAX
2019-08-27,41.22,41.5,40.06,41.16,6400,BAX
2019-08-28,40.41,40.99,40.18,40.75,11800,BAX
2019-08-29,40.41,40.41,38.1,38.1,38300,BAX
2019-08-30,38.1,38.68,37.52,38.1,10300,BAX
2019-09-03,37.23,37.29,34.29,34.29,20800,BAX
2019-09-04,31.69,31.69,30.88,30.88,14900,BAX
2019-09-05,27.82,33.48,27.82,32.04,87200,BAX
2019-09-06,33.37,33.37,30.88,32.33,12862,BAX
2019-09-09,32.33,32.33,31.17,31.98,2800,BAX
2019-09-10,30.08,30.59,28.81,28.81,81800,BAX
2019-09-11,28.86,29.96,28.81,29.38,12000,BAX
2019-09-12,27.71,31.75,27.71,31.63,21400,BAX
2019-09-13,30.59,32.79,30.02,31.75,29600,BAX
2019-09-16,31.75,32.33,29.44,30.83,10600,BAX
2019-09-17,30.77,31.17,28.29,30.59,26800,BAX
2019-09-18,31.0,31.0,28.29,28.86,42400,BAX
2019-09-19,28.4,29.67,28.29,28.86,17100,BAX
2019-09-20,28.29,28.4,28.29,28.4,24600,BAX
2019-09-23,28.29,29.44,28.17,28.75,25000,BAX
2019-09-24,28.86,28.86,28.57,28.57,6000,BAX
2019-09-25,28.4,28.98,28.34,28.86,3200,BAX
2019-09-26,29.38,29.38,28.34,28.81,8900,BAX
2019-09-27,28.46,28.69,27.82,27.82,13300,BAX
2019-09-30,28.29,28.29,27.71,27.71,10500,BAX
2019-10-01,27.71,28.86,27.71,28.86,3400,BAX
2019-10-02,28.69,28.86,28.05,28.29,12000,BAX
2019-10-03,27.77,28.29,27.65,27.77,24600,BAX
2019-10-04,27.82,28.34,27.71,28.34,6700,BAX
2019-10-07,28.05,28.46,28.0,28.05,2700,BAX
2019-10-08,28.05,28.4,28.05,28.29,5400,BAX
2019-10-09,28.29,28.57,28.29,28.34,16700,BAX
2019-10-10,28.86,29.96,28.86,29.21,13400,BAX
